entidad_federativa,municipio,anio,subsector,categoria_generador,categoria_residuo,tipo_residuo,generacion_estimada
Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lamparas fluorescentes y de vapor de mercurio,Lamparas fluorescentes y de vapor de mercurio,0
Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Liquidos residuales de proceso no corrosivos,Residuos de trampas liquido,0.11
Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lodos Contaminados con Hidrocarburos (combustible y aceites),Lodos desechos de trampa,3.2
Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Lodos de tanques de almacenamiento de hidrocarburos,Lodos de tanques de hidrocarburos,0.71
Aguascalientes,Sin Dato,2018,Petrolifero,Microgenerador,Solidos contaminados con hidrocarburos diversos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite",4.15
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Aceites gastados (Lubricantes),Aceites gastados lubricantes,1.35
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Baterias alcalinas,Pilas alcalinas,0.01
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Filtro de aire o aceite contaminados,Filtro de aire o aceite contaminados,0.58
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lamparas fluorescentes y de vapor de mercurio,Lamparas fluorescentes y de vapor de mercurio,0.06
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Liquidos residuales de proceso no corrosivos,Agua contaminada con hidrocarburos,24.4
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos Contaminados con Hidrocarburos (combustible y aceites),Lodos aceitosos de trampa,39.67
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos de tanques de almacenamiento de hidrocarburos,Lodos de tanques de hidrocarburos,0.11
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Pilas o Baterias con Litio o Cadmio,Pilas Niquel-Cadmio,0.06
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos contaminados con hidrocarburos diversos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite",4.03
Aguascalientes,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos contaminados con pinturas o solventes diversos,"Envases, botes, cubetas, contenedores, trapos, guantes, carton, EPP, carton, envases, franelas, filtros impregnados",0.19
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,hidraulicos,0
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,Lubricantes,0
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",0.1564
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Liquidos de proceso,No corrosivos,0.0476
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Lodos,Lodos aceitosos,0.085
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Lodos,Lodos procedentes de trampas de grasas e hidrocarburos,0
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.181
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Residuos solidos,Filtro de aire o de aceite contaminados,0
Aguascalientes,Sin Dato,2019,Petrolifero,Microgenerador,Residuos solidos,Lámpara fluorescentes,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Aceites gastados,Lubricantes,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,"Baterias, celdas y pilas",Pilas alcalinas,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,"Baterias, celdas y pilas",Pilas o baterias de Niquel - Cadmio,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Liquidos de proceso,Liquidos con residuos de hidrocarburos,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Lodos,Lodos aceitosos,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Lodos,Lodos procedentes de trampas de grasas e hidrocarburos,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,"Botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,Filtro de aire o de aceite contaminados,0
Aguascalientes,Sin Dato,2019,Petrolifero,Pequeno Generador,Residuos solidos,Lámpara fluorescentes,0
Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Aceites lubricantes,Aceites gastados lubricantes,0.24
Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Líquidos de proceso,Aguas aceitosas,0.015
Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,"Gasollina, diésel y naftas gastados","Gasollina, diésel y naftas gastados",0.22
Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Lámparas fluorescentes y de vapor de mercurio,Lámparas fluorescentes y de vapor de mercurio,0.0036
Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.916
Aguascalientes,Sin Dato,2020,Petrolifero,Microgenerador,Lodos,Lodos aceitosos,1.017
Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Aceites lubricantes,Aceites gastados lubricantes,0.9968
Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Líquidos de proceso,Aguas aceitosas,28.55
Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,"Gasollina, diésel y naftas gastados","Gasollina, diésel y naftas gastados",0.98
Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Lámparas fluorescentes y de vapor de mercurio,Lámparas fluorescentes y de vapor de mercurio,0.909
Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.8195
Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,"Baterias, pilas y balastras","Baterias, pilas y balastras",0.031
Aguascalientes,Sin Dato,2020,Petrolifero,Pequeno Generador,Lodos,Lodos aceitosos,1.603
Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Aceites gastados,Lubricantes,0.24
Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,"Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios",0.22
Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Otros,"Agua oleosa, agua contaminada",0.02
Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.92
Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Residuos solidos,"Lámparas fluorescentes, lámparas de vapor de mercurio",0
Aguascalientes,Sin Dato,2021,Petrolifero,Microgenerador,Lodos,Lodos aceitosos,1.02
Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,Aceites gastados,Lubricantes,1
Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,"baterias, celdas y pilas","Baterias, pilas y balastras",0.03
Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,"Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios",0.98
Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,Otros,"Agua oleosa, agua contaminada",28.55
Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,Residuos solidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",1.82
Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,Residuos solidos,"Lámparas fluorescentes, lámparas de vapor de mercurio",0.91
Aguascalientes,Sin Dato,2021,Petrolifero,Pequeno Generador,Lodos,Lodos aceitosos,1.6
Aguascalientes,Aguascalientes,2022,Petrolífero,Microgenerador,Aceites gastados,Lubricantes,0.26
Aguascalientes,Aguascalientes,2022,Petrolífero,Microgenerador,"Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios",0
Aguascalientes,Aguascalientes,2022,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.3
Aguascalientes,Aguascalientes,2022,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.07
Aguascalientes,Jesús María,2022,Petrolífero,Microgenerador,Aceites gastados,Lubricantes,0.02
Aguascalientes,Jesús María,2022,Petrolífero,Microgenerador,"Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios",0.1
Aguascalientes,Jesús María,2022,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.1
Aguascalientes,Jesús María,2022,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.18
Aguascalientes,El Llano,2022,Petrolífero,Microgenerador,"Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios",0.03
Aguascalientes,El Llano,2022,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.03
Aguascalientes,El Llano,2022,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.29
Aguascalientes,Aguascalientes,2023,Petrolífero,Microgenerador,Aceites gastados,Hidráulicos,0.08
Aguascalientes,Aguascalientes,2023,Petrolífero,Microgenerador,"Gasolina, diésel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios",0.29
Aguascalientes,Aguascalientes,2023,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.26
Aguascalientes,Aguascalientes,2023,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.16
Aguascalientes,Aguascalientes,2023,Petrolífero,Microgenerador,Residuos sólidos,"Lámparas fluorescentes, lámparas de vapor de mercurio",0.02
Aguascalientes,Aguascalientes,2023,Petrolífero,Pequeño Generador,Aceites gastados,Lubricantes,3.5
Aguascalientes,Aguascalientes,2023,Petrolífero,Pequeño Generador,Agua contaminada,"Agua contaminada con hidrocarburos, combustibles, aceite o grasa",0.3
Aguascalientes,Aguascalientes,2023,Petrolífero,Pequeño Generador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.6
Aguascalientes,Cosío,2023,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.21
Aguascalientes,Cosío,2023,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.1
Aguascalientes,Aguascalientes,2024,Petrolífero,Microgenerador,Aceites gastados,Hidráulicos,0.27
Aguascalientes,Aguascalientes,2024,Petrolífero,Microgenerador,Aceites gastados,Lubricantes,0.03
Aguascalientes,Aguascalientes,2024,Petrolífero,Microgenerador,Gasolina y otros combustibles,"Gasolina, diesel y naftas gastados o sucios",0.36
Aguascalientes,Aguascalientes,2024,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.98
Aguascalientes,Aguascalientes,2024,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.54
Aguascalientes,Aguascalientes,2024,Petrolífero,Microgenerador,Residuos sólidos,"Lámparas fluorescentes, lámparas de vapor de mercurio",0.02
Aguascalientes,Calvillo,2024,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.08
Aguascalientes,Calvillo,2024,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.04
Aguascalientes,Jesús María,2024,Petrolífero,Microgenerador,Aceites gastados,Hidráulicos,0.13
Aguascalientes,Jesús María,2024,Petrolífero,Microgenerador,Aceites gastados,Lubricantes,0.03
Aguascalientes,Jesús María,2024,Petrolífero,Microgenerador,Gasolina y otros combustibles,"Gasolina, diesel y naftas gastados o sucios",0.01
Aguascalientes,Jesús María,2024,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.48
Aguascalientes,Jesús María,2024,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.26
Aguascalientes,Jesús María,2024,Petrolífero,Microgenerador,Residuos sólidos,"Lámparas fluorescentes, lámparas de vapor de mercurio",0.04
Aguascalientes,Rincón de Romos,2024,Petrolífero,Microgenerador,Aceites gastados,Lubricantes,0.03
Aguascalientes,Rincón de Romos,2024,Petrolífero,Microgenerador,Gasolina y otros combustibles,"Gasolina, diesel y naftas gastados o sucios",0.01
Aguascalientes,Rincón de Romos,2024,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.28
Aguascalientes,Rincón de Romos,2024,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.06
Aguascalientes,San Francisco de Los Romo,2024,Petrolífero,Microgenerador,Agua contaminada,"Agua contaminada con hidrocarburos, combustibles, aceite o grasa",0.04
Aguascalientes,San Francisco de Los Romo,2024,Petrolífero,Microgenerador,Lodos,Lodos aceitosos,0.09
Aguascalientes,San Francisco de Los Romo,2024,Petrolífero,Microgenerador,Residuos sólidos,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.08
Baja California,Sin Dato,2017,Petrolero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",0.01
Baja California,Sin Dato,2017,Petrolero,Microgenerador,Lodos aceitosos,Otros lodos,1.77
Baja California,Sin Dato,2017,Petrolero,Microgenerador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",5.71
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Aceites gastados,Lubricantes,1.35
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,"Baterias, celdas y pilas",No especificado,0.39
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Escorias,Residuos de soldadura,0.2
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",49.62
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Liquidos de proceso,"Agua contaminada con hidrocarburos, combustibles, aceite o grasa",0.4
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Liquidos de proceso,Otros residuos,0.2
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Lodos aceitosos,"Con contaminacion de hidrocarburos, combustibles, aceite",31.45
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,Balastras,0.4
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,"Botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",22.02
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,De mantenimiento automotríz,0.05
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",60.15
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,Lampara fluorescentes,0.46
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,"Mangueras, pistolas o filtros para despacho de combustibles, descarga de contaminantes",0.18
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Residuos solidos,"Tierra, grava, acerrín impregnados con aceites, grasas e hidrocarburos",0.2
Baja California,Sin Dato,2017,Petrolero,Pequeno Generador,Metales,Fierro contaminado,0.2
Baja California,Sin Dato,2017,Petroleo y petroquimica,Microgenerador,Aceites gastados,Lubricantes,0
Baja California,Sin Dato,2017,Petroleo y petroquimica,Microgenerador,"Baterias, celdas y pilas",Pilas alcalinas,0
Baja California,Sin Dato,2017,Petroleo y petroquimica,Microgenerador,"Baterias, celdas y pilas","Pilas, baterias, acumuladores, celdas de desecho: niquel-cadmio, plomo, mercurio",0.01
Baja California,Sin Dato,2017,Petroleo y petroquimica,Microgenerador,Residuos solidos,"Botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",0
Baja California,Sin Dato,2017,Petroleo y petroquimica,Microgenerador,Residuos solidos,"Con contaminacion de gas natural, mercaptano",0
Baja California,Sin Dato,2017,Petroleo y petroquimica,Microgenerador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0
Baja California,Sin Dato,2017,Petroleo y petroquimica,Pequeno Generador,Aceites gastados,Lubricantes,0.35
Baja California,Sin Dato,2017,Petroleo y petroquimica,Pequeno Generador,"Baterias, celdas y pilas",Pilas alcalinas,0.02
Baja California,Sin Dato,2017,Petroleo y petroquimica,Pequeno Generador,"Baterias, celdas y pilas","Pilas, baterias, acumuladores, celdas de desecho: niquel-cadmio, plomo, mercurio",0.18
Baja California,Sin Dato,2017,Petroleo y petroquimica,Pequeno Generador,Pinturas y productos relacionados,"Residuos de pinturas, pinturas caducadas",0.15
Baja California,Sin Dato,2017,Petroleo y petroquimica,Pequeno Generador,Residuos solidos,"Botes o recipientes que contuvieron contaminantes diversos, latas de pintura, aerosoles",0.2
Baja California,Sin Dato,2017,Petroleo y petroquimica,Pequeno Generador,Residuos solidos,"Estopa, trapo, plasticos, carton, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.15
Baja California,Sin Dato,2017,Petroleo y petroquimica,Pequeno Generador,Residuos solidos,Lampara fluorescentes,0.06
Baja California,Sin Dato,2018,Petrolifero,Microgenerador,Aceites gastados (Hidraulicos),Aceite gastado hidraulico,0.01
Baja California,Sin Dato,2018,Petrolifero,Microgenerador,Aceites gastados (Lubricantes),Aceites gastados lubricantes,0.02
Baja California,Sin Dato,2018,Petrolifero,Microgenerador,Lamparas fluorescentes y de vapor de mercurio,Lamparas fluorescentes y de vapor de mercurio,0.01
Baja California,Sin Dato,2018,Petrolifero,Microgenerador,Lodos Contaminados con Hidrocarburos (combustible y aceites),Lodos aceitosos de trampa,6.08
Baja California,Sin Dato,2018,Petrolifero,Microgenerador,Solidos contaminados con hidrocarburos diversos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite",5.48
Baja California,Sin Dato,2018,Petrolifero,Microgenerador,"Gasolina, Diesel y Naftas gastados o sucios","Gasolina, Diesel y Naftas gastados o sucios provenientes de Estaciones de Servicio y Talleres Automotrices",0.22
Baja California,Sin Dato,2018,Petrolifero,Microgenerador,Liquidos residuales de proceso no corrosivos,Agua contaminada con hidrocarburos,0.13
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Aceites gastados (Hidraulicos),Aceite gastado hidraulico,0.84
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Aceites gastados (Lubricantes),Aceites gastados lubricantes,0.61
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Baterias alcalinas,Pilas alcalinas,0.04
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Filtro de aire o aceite contaminados,Filtro de aire o aceite contaminados,0.4
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,"Gasolina, Diesel y Naftas gastados o sucios","Gasolina, Diesel y Naftas gastados o sucios provenientes de Estaciones de Servicio y Talleres Automotrices",33.53
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Lamparas fluorescentes,Lamparas fluorescentes y de vapor de mercurio,0.33
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Liquidos residuales de proceso corrosivos,Agua contaminada con hidrocarburos,51.9
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos Contaminados con Hidrocarburos,Lodos con aceite y restos de hidrocarburos,34.6
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Lodos de tanques de almacenamiento de hidrocarburos,Lodos de tanques de hidrocarburos,1
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Pilas o Baterias con Litio o Cadmio,Pilas Niquel-Cadmio,0.18
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos contaminados con hidrocarburos,"Filtros, mangueras, envases, botes, cubetas, contenedores, trapos, guantes, carton, aserrin, material absorbente,Estopas y trapos impregnados con combustible, Envases vacios impregnados de aceite",42.18
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Solidos de mantenimiento impregnados con Hidrocarburos,"trapos impregnados con aceite, grasas, etc. Usados en la limpieza y/o revision de autos",6.47
Baja California,Sin Dato,2018,Petrolifero,Pequeno generador,Solventes Gastados,Residuos de solventes,0.14
Baja California,Sin Dato,2018,Petrolero,Microgenerador,Aceites gastados,Aceites gastados lubricantes,0
Baja California,Sin Dato,2018,Petrolero,Microgenerador,Pinturas y productos relacionados,Felpas impregnadas de pigmentos de cromo y plomo,0.01
Baja California,Sin Dato,2018,Petrolero,Microgenerador,Pinturas y productos relacionados,Residuos de pigmentos base cromo y base plomo,0.01
Baja California,Sin Dato,2018,Petrolero,Microgenerador,Solidos,Solidos con metales pesados,0.05
Baja California,Sin Dato,2018,Petrolero,Microgenerador,Solidos,Solidos de mantenimiento automotriz,0.01
Baja California,Sin Dato,2018,Petrolero,Microgenerador,Solidos,Solidos otros,0.02
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Aceites gastados,Lubricantes,0.0005
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Pinturas y productos relacionados,"Estopa, trapo, plásticos, cartón, madera, brochas, papel, cepillo, etc., impregnados con pinturas, grasas, aceites, hidrocarburos",0.002
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Pinturas y productos relacionados,Residuos de pigmentos base cromo y base plomo,0.001
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Residuos solidos,Con metales pesados,0.01
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Residuos solidos,solidos OTROS (CARTUCHOS INTERNOS DE FILTROS IMPREGNADOS CON HOLLÍN Y ACEITE LUBRICANTE GASTADO.),0.001
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Residuos solidos,De mantenimiento automotríz,0
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Residuos solidos,Otros solidos (baterias alcalinas usadas,0.002
Baja California,Sin Dato,2019,Petrolero,Microgenerador,Residuos solidos,Otros solidos (suelo contaminado con aceite lubricante gastado),0.004
Baja California,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,hidraulicos,0
Baja California,Sin Dato,2019,Petrolifero,Microgenerador,Aceites gastados,Lubricantes,0.006
Baja California,Sin Dato,2019,Petrolifero,Microgenerador,"Gasolina, diesel y naftas gastados o sucios provenientes de estaciónes de servicio y talleres automotrices","Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices",0
Baja California,Sin Dato,2019,Petrolifero,Microgenerador,Liquidos de proceso,Liquidos con residuos de hidrocarburos,0
